ID,字段1,字段2,discount,price,privilege.for.new,privilege.on.sale,district,if.nonworkdays.available,time.duration,if.appointment.needed,WiFi.available,parking,rooms.available,评分,评论数,online.intervel,quarterly.sales.volume,level.of.participants.limited,level.of.tickets.limited,place,food,taste,cook,people,style,HighFreq
1824,重庆美蛙鱼,仅售85元，价值100元代金券！可叠加使用，节假日通用，提供免费WiFi，免费WiFi！,0.85,85,钱包新客最高再减20元,无立减优惠,新城区,周末法定节假日通用,12,无需预约,免费WiFi,未提及,仅限大厅使用,5,1,317,3.974763407,不限人数,不限张数,是,是,否,否,否,川系,2
1825,重庆小火锅,仅售95元，价值100元代金券！可叠加使用，节假日通用！,0.95,95,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,13.5,无需预约,未提及,未提及,仅限大厅使用,0,0,446,0.201793722,不限人数,不限张数,是,否,否,否,否,川系,3
1826,成都呱串串(西荷花园店),仅售85元，价值100元代金券！免费WiFi！,0.85,85,钱包新客最高再减20元,无立减优惠,碑林区,周末法定节假日通用,13,无需预约,免费WiFi,收费停车位,仅限大厅使用,3,2,235,14.17021277,不限人数,不限张数,否,否,否,否,否,川系,1
1827,清真伊萱串串,仅售41.8元，价值50元代金券！可使用包间，免费停车，免费WiFi！,0.836,41.8,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,13,无需预约,免费WiFi,免费停车位,均可使用,4.9,8,361,10.22160665,不限人数,不限张数,否,否,是,否,否,川系,1
1828,爱品客串串香,仅售88元，价值121元4人餐！节假日通用，店内提供免费无线WIFI，免费WiFi！,0.727272727,88,钱包新客最高再减20元,无立减优惠,长安区,周末法定节假日通用,11,无需预约,免费WiFi,无停车位,仅限大厅使用,0,0,601,0.299500832,不限人数,不限张数,否,否,是,否,否,川系,2
1829,鱼上鲜纸包鱼,仅售85元，价值100元代金券！可使用包间，免费停车，免费WiFi！,0.85,85,钱包新客最高再减20元,无立减优惠,临潼区,周末法定节假日通用,12.5,无需预约,免费WiFi,免费停车位,均可使用,0,0,227,1.189427313,不限人数,不限张数,否,是,是,否,否,其他,1
183,顺水鱼馆,仅售128元，价值214元4人餐！节假日通用，免费WiFi、停车位，需提前1天预约，免费停车，免费WiFi，需预约！,0.598130841,128,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,3,需预约,免费WiFi,免费停车位,仅限大厅使用,4.8,51,420,52.92857143,限2-4人,不限张数,否,是,否,否,否,其他,1
1831,滨河大锅,仅售198元，价值222元6人餐！提供免费WiFi，免费WiFi！,0.891891892,198,钱包新客最高再减20元,无立减优惠,灞桥区,非周末法定节假日通用,12,无需预约,免费WiFi,无停车位,仅限大厅使用,0,0,344,1.308139535,不限人数,不限张数,否,否,否,否,否,其他,2
1832,串来串趣,仅售68元，价值80元代金券！,0.85,68,钱包新客最高再减20元,无立减优惠,临潼区,周末法定节假日通用,10,无需预约,未提及,未提及,仅限大厅使用,0,0,254,0,不限人数,不限张数,否,否,否,否,否,其他,1
1833,康二姐签知千味(公园南路店),仅售88元，价值100元代金券！免费WiFi！,0.88,88,钱包新客最高再减20元,无立减优惠,新城区,周末法定节假日通用,12,无需预约,免费WiFi,收费停车位,仅限大厅使用,4.3,4,162,13.88888889,限2-4人,不限张数,否,否,否,否,否,其他,1
1834,没招牌串串,仅售78元，价值100元代金券！,0.78,78,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,6,无需预约,未提及,未提及,仅限大厅使用,0,0,258,0.348837209,不限人数,不限张数,否,否,否,否,否,川系,1
1835,没招牌串串,仅售39元，价值50元代金券！,0.78,39,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,6,无需预约,未提及,未提及,仅限大厅使用,0,0,258,0.348837209,不限人数,不限张数,否,否,否,否,否,川系,1
1836,渝鱼醉香居,仅售88元，价值121元双人餐！,0.727272727,88,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,24,无需预约,未提及,未提及,仅限大厅使用,0,0,128,2.109375,不限人数,不限张数,否,是,是,否,否,其他,2
1837,名悦私房火锅,仅售79元，价值100元代金券！提前3小时预约，节假日通用！可叠加，可使用包间，需预约！,0.79,79,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,13,需预约,未提及,未提及,均可使用,0,0,478,0,不限人数,不限张数,否,否,否,否,否,其他,2
1838,渔凫桥,仅售39元，价值50元代金券！节假日通用，提供免费WiFi！可叠加使用，免费WiFi！,0.78,39,钱包新客最高再减20元,无立减优惠,临潼区,周末法定节假日通用,11,无需预约,免费WiFi,未提及,仅限大厅使用,5,3,485,5.010309278,不限人数,不限张数,否,否,否,否,否,其他,0
1839,亿鑫猪肚鸡(城南店),仅售150元，价值190元代金券！免费停车，免费WiFi！,0.789473684,150,钱包新客最高再减20元,无立减优惠,雁塔区,非周末法定节假日通用,14,无需预约,免费WiFi,免费停车位,均可使用,0,0,223,0,不限人数,不限张数,否,是,否,否,否,粤系,2
184,吴铭火锅(临潼店),仅售78元，价值100元代金券！免费停车，免费WiFi！,0.78,78,钱包新客最高再减20元,无立减优惠,临潼区,周末法定节假日通用,11.5,无需预约,免费WiFi,免费停车位,仅限大厅使用,4.5,18,75,435.6,不限人数,不限张数,是,否,否,否,否,其他,1
1840,乡村土灶一锅炖,仅售288元，价值406元6-8人餐！节假日通用！,0.709359606,288,钱包新客最高再减20元,无立减优惠,雁塔区,周末法定节假日通用,12.5,无需预约,未提及,未提及,仅限大厅使用,0,0,350,0,不限人数,不限张数,否,否,否,是,否,其他,1
1842,巧姐冷热锅,仅售88元，价值100元巧姐冷热锅代金券！节假日通用，店内提供免费无线WIFI，免费WiFi！,0.88,88,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,11.5,无需预约,免费WiFi,未提及,仅限大厅使用,5,6,477,5.471698113,不限人数,限制张数,否,否,否,否,否,其他,1
1843,山水涧铜锅涮肉,仅售288元，价值369元8人餐！节假日通用，店内提供免费WiFi、停车位，可使用包间，免费停车，免费WiFi！,0.780487805,288,钱包新客最高再减20元,无立减优惠,灞桥区,周末法定节假日通用,12,无需预约,免费WiFi,免费停车位,均可使用,0,0,314,0.573248408,限5-12人,不限张数,否,是,否,是,否,其他,2
1844,吉百布冰煮羊,仅售78元，价值100元代金券！,0.78,78,钱包新客最高再减20元,无立减优惠,碑林区,周末法定节假日通用,5,无需预约,未提及,未提及,仅限大厅使用,0,0,94,8.617021277,不限人数,不限张数,否,是,否,是,否,其他,0
1846,亿鑫猪肚鸡(城南店),仅售100元，价值130元代金券！免费停车，免费WiFi！,0.769230769,100,钱包新客最高再减20元,无立减优惠,雁塔区,非周末法定节假日通用,14,无需预约,免费WiFi,免费停车位,均可使用,0,0,223,0,不限人数,不限张数,否,是,否,否,否,粤系,2
1847,亿鑫猪肚鸡(城南店),仅售120元，价值150元代金券！免费停车，免费WiFi！,0.8,120,钱包新客最高再减20元,无立减优惠,雁塔区,非周末法定节假日通用,14,无需预约,免费WiFi,免费停车位,均可使用,0,0,223,0,不限人数,不限张数,否,是,否,否,否,粤系,2
1848,阿楠家饭,仅售98元，价值128元打边炉1份！节假日通用，提供免费WiFi，免费WiFi！,0.765625,98,钱包新客最高再减20元,无立减优惠,高新区,周末法定节假日通用,10,无需预约,免费WiFi,无停车位,仅限大厅使用,0,0,323,0,不限人数,限制张数,否,否,否,否,否,其他,0
1849,皇氏仁串串吧,仅售88元，价值100元代金券！,0.88,88,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,6,无需预约,未提及,无停车位,仅限大厅使用,4.4,5,257,5.252918288,不限人数,不限张数,否,否,否,否,否,川系,1
185,清真回坊小调,仅售108元，价值177元清真回坊小调晚市4人餐！节假日通用，免费WiFi，免费WiFi！,0.610169492,108,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,9,无需预约,免费WiFi,未提及,仅限大厅使用,5,2,290,4.344827586,限2-4人,限制张数,否,否,是,否,否,其他,1
1850,重庆鸡公煲,仅售48元，价值56元重庆鸡公煲双人餐！节假日通用！,0.857142857,48,钱包新客最高再减20元,无立减优惠,长安区,周末法定节假日通用,11,无需预约,未提及,未提及,仅限大厅使用,0,0,304,0.592105263,不限人数,不限张数,是,是,否,是,否,川系,3
1851,红霓仟锅汇,仅售368元，价值504元6人餐！免费停车！,0.73015873,368,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,11,无需预约,未提及,免费停车位,均可使用,0,0,97,0,限5-12人,不限张数,否,否,否,否,否,其他,1
1852,农家铁锅炖,仅售288元，价值386元6-8人餐！节假日通用！可叠加使用！免费WiFi，免费WiFi！,0.74611399,288,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,11.5,无需预约,免费WiFi,未提及,仅限大厅使用,0,0,378,0,不限人数,不限张数,否,否,否,是,否,其他,1
1853,虎子串串,仅售42.5元，价值50元代金券！免费停车！,0.85,42.5,钱包新客最高再减20元,无立减优惠,碑林区,周末法定节假日通用,8,无需预约,未提及,免费停车位,仅限大厅使用,0,0,159,0,不限人数,限制张数,否,否,否,否,否,川系,1
1854,跳水鱼,仅售35元，价值50元午市代金券！可叠加使用，节假日通用，提供免费WiFi，免费WiFi！,0.7,35,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,4,无需预约,免费WiFi,无停车位,仅限大厅使用,0,0,310,0.290322581,不限人数,不限张数,否,是,否,否,否,其他,1
1855,七婆串串香火锅(巨瀚广场店),仅售85元，价值100元代金券！免费WiFi！,0.85,85,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,12,无需预约,免费WiFi,无停车位,仅限大厅使用,5,1,142,2.535211268,不限人数,不限张数,否,否,是,否,是,川系,3
1856,兄弟串串,仅售35元，价值50元代金券！,0.7,35,钱包新客最高再减20元,无立减优惠,临潼区,周末法定节假日通用,6,无需预约,未提及,未提及,仅限大厅使用,0,0,251,0.358565737,不限人数,不限张数,否,否,否,否,否,川系,1
1857,王家冷锅串串,仅售39元，价值50元代金券！免费WiFi！,0.78,39,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,13.5,无需预约,免费WiFi,无停车位,仅限大厅使用,0,0,199,1.809045226,限2-4人,不限张数,否,否,否,否,否,川系,2
1858,小倩串串香火锅(田家湾店),仅售88元，价值100元田家湾店代金券！可叠加使用，节假日通用！,0.88,88,钱包新客最高再减20元,无立减优惠,新城区,周末法定节假日通用,14,无需预约,未提及,未提及,仅限大厅使用,1,1,293,0.614334471,不限人数,不限张数,否,否,是,否,否,川系,4
1859,丽江故事私房火锅,仅售85元，价值100元代金券！免费WiFi，需预约！,0.85,85,钱包新客最高再减20元,无立减优惠,碑林区,周末法定节假日通用,8,需预约,免费WiFi,未提及,仅限大厅使用,0,0,14,0,不限人数,不限张数,是,否,否,否,否,其他,2
186,顺福肥牛火锅城(龙首店),仅售88元，价值100元龙首店代金券！可叠加使用，节假日通用，提供免费WiFi，免费WiFi！,0.88,88,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,14.5,无需预约,免费WiFi,未提及,仅限大厅使用,4,7,301,19.73421927,不限人数,不限张数,否,是,否,否,否,其他,2
