Unique_City_ID,City,County,State
simmlersan_luis_obispoca,Simmler,San Luis Obispo,CA
forest_parkclaytonga,Forest Park,Clayton,GA
elwellgratiotmi,Elwell,Gratiot,MI
big_springhowardtx,Big Spring,Howard,TX
oneida_townshiphuntingdonpa,Oneida Township,Huntingdon,PA
lakesidenavajoaz,Lakeside,Navajo,AZ
merrimacsaukwi,Merrimac,Sauk,WI
silobryanok,Silo,Bryan,OK
octaviabutlerne,Octavia,Butler,NE
warrenbristolri,Warren,Bristol,RI
exeterotsegony,Exeter,Otsego,NY
mcchesneytown_loyalhannawestmorelandpa,Mcchesneytown-Loyalhanna,Westmoreland,PA
petersburgmenardil,Petersburg,Menard,IL
dysarttamaia,Dysart,Tama,IA
aftoncheboyganmi,Afton,Cheboygan,MI
nisqually_indian_communitythurstonwa,Nisqually Indian Community,Thurston,WA
rosslyn_farmsalleghenypa,Rosslyn Farms,Allegheny,PA
washington_terraceweberut,Washington Terrace,Weber,UT
garysburgnorthamptonnc,Garysburg,Northampton,NC
canal_fultonstarkoh,Canal Fulton,Stark,OH
turinmononaia,Turin,Monona,IA
harrimanroanetn,Harriman,Roane,TN
dollar_bayhoughtonmi,Dollar Bay,Houghton,MI
charlestowncalumetwi,Charlestown,Calumet,WI
southlaketarranttx,Southlake,Tarrant,TX
paynevillemeadeky,Payneville,Meade,KY
knoxvillemarionia,Knoxville,Marion,IA
riddlevillewashingtonga,Riddleville,Washington,GA
norforkbaxterar,Norfork,Baxter,AR
crossvillede_kalbal,Crossville,De Kalb,AL
rooseveltduchesneut,Roosevelt,Duchesne,UT
palmer_lakeel_pasoco,Palmer Lake,El Paso,CO
martinsburgknoxoh,Martinsburg,Knox,OH
saint_luciesaint_luciefl,Saint Lucie,Saint Lucie,FL
lexingtondawsonne,Lexington,Dawson,NE
osykapikems,Osyka,Pike,MS
mincogradyok,Minco,Grady,OK
wiltonlittle_riverar,Wilton,Little River,AR
clinton_townshiphunterdonnj,Clinton Township,Hunterdon,NJ
north_lauderdalebrowardfl,North Lauderdale,Broward,FL
baytownharristx,Baytown,Harris,TX
richfieldjuniatapa,Richfield,Juniata,PA
klamath_fallsklamathor,Klamath Falls,Klamath,OR
liberty_hillkershawsc,Liberty Hill,Kershaw,SC
garlanddallastx,Garland,Dallas,TX
chesterfieldburlingtonnj,Chesterfield,Burlington,NJ
virgilcortlandny,Virgil,Cortland,NY
upper_turkeyfoot_townshipsomersetpa,Upper Turkeyfoot Township,Somerset,PA
thornburgalleghenypa,Thornburg,Allegheny,PA
susquehanna_townshipcambriapa,Susquehanna Township,Cambria,PA
higginsvillejohnsonmo,Higginsville,Johnson,MO
pameliajeffersonny,Pamelia,Jefferson,NY
tremonthancockme,Tremont,Hancock,ME
kailua_konahawaiihi,Kailua Kona,Hawaii,HI
lakesitehamiltontn,Lakesite,Hamilton,TN
chadrondawesne,Chadron,Dawes,NE
harborcreekeriepa,Harborcreek,Erie,PA
chesterqueen_annesmd,Chester,Queen Annes,MD
honeoye_fallsmonroeny,Honeoye Falls,Monroe,NY
finleydyertn,Finley,Dyer,TN
christiansburgchampaignoh,Christiansburg,Champaign,OH
lakevilledakotamn,Lakeville,Dakota,MN
goodwatercoosaal,Goodwater,Coosa,AL
willistonwilliamsnd,Williston,Williams,ND
cummingforsythga,Cumming,Forsyth,GA
carlyleclintonil,Carlyle,Clinton,IL
eastonkittitaswa,Easton,Kittitas,WA
honesdalewaynepa,Honesdale,Wayne,PA
brewsterputnamny,Brewster,Putnam,NY
dunnsvilleessexva,Dunnsville,Essex,VA
elwood_magnoliaatlanticnj,Elwood-Magnolia,Atlantic,NJ
wacomadisonky,Waco,Madison,KY
springtownparkertx,Springtown,Parker,TX
kilnhancockms,Kiln,Hancock,MS
robesoniaberkspa,Robesonia,Berks,PA
south_valleycattaraugusny,South Valley,Cattaraugus,NY
west_shenango_townshipcrawfordpa,West Shenango Township,Crawford,PA
ryland_heightskentonky,Ryland Heights,Kenton,KY
hornickwoodburyia,Hornick,Woodbury,IA
raisin_cityfresnoca,Raisin City,Fresno,CA
duanefranklinny,Duane,Franklin,NY
table_grovefultonil,Table Grove,Fulton,IL
prairie_grovemchenryil,Prairie Grove,McHenry,IL
grandviewrheatn,Grandview,Rhea,TN
le_roymcleanil,Le Roy,McLean,IL
beallsvillemonroeoh,Beallsville,Monroe,OH
west_bountifuldavisut,West Bountiful,Davis,UT
hyannisgrantne,Hyannis,Grant,NE
lake_hamiltonpolkfl,Lake Hamilton,Polk,FL
jamestown_westchautauquany,Jamestown West,Chautauqua,NY
monroeunionnc,Monroe,Union,NC
rainiercolumbiaor,Rainier,Columbia,OR
hilmarmercedca,Hilmar,Merced,CA
winonasmithtx,Winona,Smith,TX
unionunionor,Union,Union,OR
mindenmontgomeryny,Minden,Montgomery,NY
pecan_hillellistx,Pecan Hill,Ellis,TX
detroitmarionor,Detroit,Marion,OR
cedar_glensan_bernardinoca,Cedar Glen,San Bernardino,CA
middlevilleherkimerny,Middleville,Herkimer,NY
millsborowashingtonpa,Millsboro,Washington,PA
hialeahmiami_dadefl,Hialeah,Miami-Dade,FL
willistonlevyfl,Williston,Levy,FL
town_of_menashawinnebagowi,Town of Menasha,Winnebago,WI
mansfieldrichlandoh,Mansfield,Richland,OH
park_ridgebergennj,Park Ridge,Bergen,NJ
currituckcurritucknc,Currituck,Currituck,NC
sulphur_springshopkinstx,Sulphur Springs,Hopkins,TX
shenango_townshipmercerpa,Shenango Township,Mercer,PA
superiormineralmt,Superior,Mineral,MT
north_druid_hillsdekalbga,North Druid Hills,Dekalb,GA
coeburnwiseva,Coeburn,Wise,VA
ballicomercedca,Ballico,Merced,CA
north_perrylakeoh,North Perry,Lake,OH
sewaneefranklintn,Sewanee,Franklin,TN
funkstownwashingtonmd,Funkstown,Washington,MD
sasakwaseminoleok,Sasakwa,Seminole,OK
grampianclearfieldpa,Grampian,Clearfield,PA
boltonworcesterma,Bolton,Worcester,MA
town_of_ludlowwindsorvt,Town of Ludlow,Windsor,VT
hamlinmonroeny,Hamlin,Monroe,NY
moscowmuscatineia,Moscow,Muscatine,IA
summervilleunionor,Summerville,Union,OR
montrealironwi,Montreal,Iron,WI
north_bay_villagemiami_dadefl,North Bay Village,Miami-Dade,FL
nathropchaffeeco,Nathrop,Chaffee,CO
conestoga_townshiplancasterpa,Conestoga Township,Lancaster,PA
combinekaufmantx,Combine,Kaufman,TX
altonmadisonil,Alton,Madison,IL
dove_creekdoloresco,Dove Creek,Dolores,CO
allegheny_townshipbutlerpa,Allegheny Township,Butler,PA
hallettsvillelavacatx,Hallettsville,Lavaca,TX
lucanredwoodmn,Lucan,Redwood,MN
milandutchessny,Milan,Dutchess,NY
branchvilleorangeburgsc,Branchville,Orangeburg,SC
hamelmadisonil,Hamel,Madison,IL
nyssamalheuror,Nyssa,Malheur,OR
pikesvillebaltimoremd,Pikesville,Baltimore,MD
belleair_bluffspinellasfl,Belleair Bluffs,Pinellas,FL
polsonlakemt,Polson,Lake,MT
daytonarmstrongpa,Dayton,Armstrong,PA
delmarwicomicomd,Delmar,Wicomico,MD
mc_farlanddanewi,Mc Farland,Dane,WI
west_mayfieldbeaverpa,West Mayfield,Beaver,PA
salemfultonar,Salem,Fulton,AR
town_of_machiaswashingtonme,Town of Machias,Washington,ME
rowlandrobesonnc,Rowland,Robeson,NC
town_of_malonefranklinny,Town of Malone,Franklin,NY
moxeeyakimawa,Moxee,Yakima,WA
spencervillemontgomerymd,Spencerville,Montgomery,MD
arbucklecolusaca,Arbuckle,Colusa,CA
baragabaragami,Baraga,Baraga,MI
monetafranklinva,Moneta,Franklin,VA
ganssequoyahok,Gans,Sequoyah,OK
overlandsaint_louismo,Overland,Saint Louis,MO
hiltonsscottva,Hiltons,Scott,VA
searingtownnassauny,Searingtown,Nassau,NY
trappetalbotmd,Trappe,Talbot,MD
montvillewaldome,Montville,Waldo,ME
readfieldkennebecme,Readfield,Kennebec,ME
paoniadeltaco,Paonia,Delta,CO
forddinwiddieva,Ford,Dinwiddie,VA
ellisvillesaint_louismo,Ellisville,Saint Louis,MO
marlborowindhamvt,Marlboro,Windham,VT
san_rafaelmarinca,San Rafael,Marin,CA
tillsonulsterny,Tillson,Ulster,NY
clam_lakesawyerwi,Clam Lake,Sawyer,WI
cloverportbreckinridgeky,Cloverport,Breckinridge,KY
winchesterriversideca,Winchester,Riverside,CA
bloomingburgfayetteoh,Bloomingburg,Fayette,OH
applingcolumbiaga,Appling,Columbia,GA
blue_ridgebotetourtva,Blue Ridge,Botetourt,VA
downsmcleanil,Downs,McLean,IL
north_saint_paulramseymn,North Saint Paul,Ramsey,MN
caddo_valleyclarkar,Caddo Valley,Clark,AR
midlandmidlandtx,Midland,Midland,TX
elbacoffeeal,Elba,Coffee,AL
mortondelawarepa,Morton,Delaware,PA
union_groveiredellnc,Union Grove,Iredell,NC
highland_heightscampbellky,Highland Heights,Campbell,KY
sleepy_eyebrownmn,Sleepy Eye,Brown,MN
paxvilleclarendonsc,Paxville,Clarendon,SC
atwaterkandiyohimn,Atwater,Kandiyohi,MN
roaring_creekcolumbiapa,Roaring Creek,Columbia,PA
auburndalewoodwi,Auburndale,Wood,WI
danburywoodburyia,Danbury,Woodbury,IA
winnemuccahumboldtnv,Winnemucca,Humboldt,NV
jeffersonashenc,Jefferson,Ashe,NC
hooversvillesomersetpa,Hooversville,Somerset,PA
mcgovernwashingtonpa,McGovern,Washington,PA
gatesmarionor,Gates,Marion,OR
yorkyorkne,York,York,NE
edgewoodnorthumberlandpa,Edgewood,Northumberland,PA
